Date,Value
7/7/2021,33855.33
7/6/2021,34235.20
7/5/2021,33746.00
7/4/2021,35287.78
7/3/2021,34668.55
7/2/2021,33897.05
7/1/2021,33572.12
6/30/2021,35040.84
6/29/2021,35867.78
6/28/2021,34434.34
6/27/2021,34649.64
6/26/2021,32186.28
6/25/2021,31637.78
6/24/2021,34662.44
6/23/2021,33723.03
6/22/2021,32505.66
6/21/2021,31676.69
6/20/2021,35698.30
6/19/2021,35615.87
6/18/2021,35787.25
6/17/2021,38053.50
6/16/2021,38347.06
6/15/2021,40406.27
6/14/2021,40218.48
6/13/2021,39097.86
6/12/2021,35552.52
6/11/2021,37334.40
6/10/2021,36702.60
6/9/2021,37345.12
6/8/2021,33472.63
6/7/2021,33560.71
6/6/2021,35862.38
6/5/2021,35551.96
6/4/2021,36894.41
6/3/2021,39208.77
6/2/2021,37575.18
6/1/2021,36684.93
5/31/2021,37332.86
5/30/2021,35678.13
5/29/2021,34616.07
5/28/2021,35697.61
5/27/2021,38436.97
5/26/2021,39294.20
5/25/2021,38402.22
5/24/2021,38705.98
5/23/2021,34770.58
5/22/2021,37536.63
5/21/2021,37304.69
5/20/2021,40782.74
5/19/2021,37002.44
5/18/2021,42909.40
5/17/2021,43537.51
5/16/2021,46456.06
5/15/2021,46760.19
5/14/2021,49880.54
5/13/2021,49716.19
5/12/2021,49150.54
5/11/2021,56704.57
5/10/2021,55859.80
5/9/2021,58232.32
5/8/2021,58803.78
5/7/2021,57356.40
5/6/2021,56396.52
5/5/2021,57424.01
5/4/2021,53333.54
5/3/2021,57200.29
5/2/2021,56631.08
5/1/2021,57828.05
4/30/2021,57750.18
4/29/2021,53555.11
4/28/2021,54824.70
4/27/2021,55033.12
4/26/2021,54021.75
4/25/2021,49004.25
4/24/2021,50050.87
4/23/2021,51093.65
4/22/2021,51762.27
4/21/2021,53906.09
4/20/2021,56473.03
4/19/2021,55724.27
4/18/2021,56216.18
4/17/2021,60683.82
4/16/2021,61572.79
4/15/2021,63314.01
4/14/2021,63109.70
4/13/2021,63503.46
4/12/2021,59893.45
4/11/2021,60204.96
4/10/2021,59793.23
4/9/2021,58245.00
4/8/2021,58323.95
4/7/2021,56048.94
4/6/2021,58192.36
4/5/2021,59057.88
4/4/2021,58758.55
4/3/2021,57603.89
4/2/2021,59384.31
4/1/2021,59095.81
3/31/2021,58918.83
3/30/2021,58917.69
3/29/2021,57750.20
3/28/2021,55950.75
3/27/2021,55973.51
3/26/2021,55137.31
3/25/2021,51704.16
3/24/2021,52774.27
3/23/2021,54738.95
3/22/2021,54529.14
3/21/2021,57523.42
3/20/2021,58313.64
3/19/2021,58346.65
3/18/2021,57858.92
3/17/2021,58870.89
3/16/2021,56804.90
3/15/2021,55907.20
3/14/2021,59302.32
3/13/2021,61243.09
3/12/2021,57332.09
3/11/2021,57805.12
3/10/2021,56008.55
3/9/2021,54824.12
3/8/2021,52246.52
3/7/2021,51206.69
3/6/2021,48912.38
3/5/2021,48927.30
3/4/2021,48561.17
3/3/2021,50538.24
3/2/2021,48378.99
3/1/2021,49631.24
2/28/2021,45137.77
2/27/2021,46188.45
2/26/2021,46339.76
2/25/2021,47093.85
2/24/2021,49705.33
2/23/2021,48824.43
2/22/2021,54207.32
2/21/2021,57539.95
2/20/2021,56099.52
2/19/2021,55888.13
2/18/2021,51679.80
2/17/2021,52149.01
2/16/2021,49199.87
2/15/2021,47945.06
2/14/2021,48717.29
2/13/2021,47105.52
2/12/2021,47504.85
2/11/2021,47909.33
2/10/2021,44918.18
2/9/2021,46481.11
2/8/2021,46196.46
2/7/2021,38903.44
2/6/2021,39266.01
2/5/2021,38144.31
2/4/2021,36926.07
2/3/2021,37472.09
2/2/2021,35510.29
2/1/2021,33537.18
1/31/2021,33114.36
1/30/2021,34269.52
1/29/2021,34316.39
1/28/2021,33466.10
1/27/2021,30432.55
1/26/2021,32569.85
1/25/2021,32366.39
1/24/2021,32289.38
1/23/2021,32067.64
1/22/2021,33005.76
1/21/2021,30825.70
1/20/2021,35547.75
1/19/2021,36069.80
1/18/2021,36630.07
1/17/2021,35791.28
1/16/2021,36178.14
1/15/2021,36825.37
1/14/2021,39187.33
1/13/2021,37316.36
1/12/2021,33922.96
1/11/2021,35566.66
1/10/2021,38356.44
1/9/2021,40254.55
1/8/2021,40797.61
1/7/2021,39371.04
1/6/2021,36824.36
1/5/2021,33992.43
1/4/2021,31971.91
1/3/2021,32782.02
1/2/2021,32127.27
1/1/2021,29374.15
12/31/2020,29001.72
12/30/2020,28840.95
12/29/2020,27362.44
12/28/2020,27084.81
12/27/2020,26272.29
12/26/2020,26437.04
12/25/2020,24664.79
12/24/2020,23735.95
12/23/2020,23241.35
12/22/2020,23783.03
12/21/2020,22803.08
12/20/2020,23477.29
12/19/2020,23869.83
12/18/2020,23137.96
12/17/2020,22805.16
12/16/2020,21310.60
12/15/2020,19417.08
12/14/2020,19246.64
12/13/2020,19142.38
12/12/2020,18803.66
12/11/2020,18058.90
12/10/2020,18264.99
12/9/2020,18553.92
12/8/2020,18321.14
12/7/2020,19191.63
12/6/2020,19345.12
12/5/2020,19154.23
12/4/2020,18699.77
12/3/2020,19445.40
12/2/2020,19201.09
12/1/2020,18803.00
11/30/2020,19625.84
11/29/2020,18177.48
11/28/2020,17717.41
11/27/2020,17108.40
11/26/2020,17150.62
11/25/2020,18732.12
11/24/2020,19107.46
11/23/2020,18364.12
11/22/2020,18370.00
11/21/2020,18642.23
11/20/2020,18621.31
11/19/2020,17817.09
11/18/2020,17804.01
11/17/2020,17645.41
11/16/2020,16716.11
11/15/2020,15955.59
11/14/2020,16068.14
11/13/2020,16317.81
11/12/2020,16276.34
11/11/2020,15701.34
11/10/2020,15290.90
11/9/2020,15332.32
11/8/2020,15479.57
11/7/2020,14833.75
11/6/2020,15565.88
11/5/2020,15579.85
11/4/2020,14133.71
11/3/2020,13950.30
11/2/2020,13550.49
11/1/2020,13737.11
10/31/2020,13781.00
10/30/2020,13546.52
10/29/2020,13437.88
10/28/2020,13271.29
10/27/2020,13654.22
10/26/2020,13075.25
10/25/2020,13031.17
10/24/2020,13108.06
10/23/2020,12931.54
10/22/2020,12965.89
10/21/2020,12823.69
10/20/2020,11916.34
10/19/2020,11742.04
10/18/2020,11483.36
10/17/2020,11358.10
10/16/2020,11322.12
10/15/2020,11495.35
10/14/2020,11429.51
10/13/2020,11425.90
10/12/2020,11555.36
10/11/2020,11384.18
10/10/2020,11296.36
10/9/2020,11064.46
10/8/2020,10915.69
10/7/2020,10668.97
10/6/2020,10604.41
10/5/2020,10793.34
10/4/2020,10669.58
10/3/2020,10549.33
10/2/2020,10575.97
10/1/2020,10619.45
9/30/2020,10784.49
9/29/2020,10844.64
9/28/2020,10709.65
9/27/2020,10775.27
9/26/2020,10750.72
9/25/2020,10692.72
9/24/2020,10760.07
9/23/2020,10246.19
9/22/2020,10538.46
9/21/2020,10462.26
9/20/2020,10938.27
9/19/2020,11094.35
9/18/2020,10944.59
9/17/2020,10948.99
9/16/2020,10974.91
9/15/2020,10796.95
9/14/2020,10680.84
9/13/2020,10323.76
9/12/2020,10442.17
9/11/2020,10400.92
9/10/2020,10363.14
9/9/2020,10242.35
9/8/2020,10131.52
9/7/2020,10369.56
9/6/2020,10280.35
9/5/2020,10169.57
9/4/2020,10511.81
9/3/2020,10245.30
9/2/2020,11414.03
9/1/2020,11970.48
8/31/2020,11680.82
8/30/2020,11711.51
8/29/2020,11506.87
8/28/2020,11542.50
8/27/2020,11323.40
8/26/2020,11488.36
8/25/2020,11366.13
8/24/2020,11774.60
8/23/2020,11664.85
8/22/2020,11681.83
8/21/2020,11592.49
8/20/2020,11878.37
8/19/2020,11758.28
8/18/2020,11991.23
8/17/2020,12254.40
8/16/2020,11892.80
8/15/2020,11865.70
8/14/2020,11768.87
8/13/2020,11784.14
8/12/2020,11584.93
8/11/2020,11410.53
8/10/2020,11878.11
8/9/2020,11675.74
8/8/2020,11754.05
8/7/2020,11601.47
8/6/2020,11779.77
8/5/2020,11747.02
8/4/2020,11205.89
8/3/2020,11246.35
8/2/2020,11053.61
8/1/2020,11759.59
7/31/2020,11323.47
7/30/2020,11111.21
7/29/2020,11100.47
7/28/2020,10912.82
7/27/2020,10990.87
7/26/2020,9905.17
7/25/2020,9677.11
7/24/2020,9536.89
7/23/2020,9581.07
7/22/2020,9525.36
7/21/2020,9374.89
7/20/2020,9164.23
7/19/2020,9185.82
7/18/2020,9159.04
7/17/2020,9151.39
7/16/2020,9132.23
7/15/2020,9192.84
7/14/2020,9243.21
7/13/2020,9243.61
7/12/2020,9276.50
7/11/2020,9240.35
7/10/2020,9278.81
7/9/2020,9277.97
7/8/2020,9428.33
7/7/2020,9252.28
7/6/2020,9375.47
7/5/2020,9073.94
7/4/2020,9132.49
7/3/2020,9087.30
7/2/2020,9123.41
7/1/2020,9228.33
6/30/2020,9137.99
6/29/2020,9190.85
6/28/2020,9143.58
6/27/2020,9045.39
6/26/2020,9162.92
6/25/2020,9264.81
6/24/2020,9313.61
6/23/2020,9629.66
6/22/2020,9648.72
6/21/2020,9303.63
6/20/2020,9332.34
6/19/2020,9288.02
6/18/2020,9411.84
6/17/2020,9480.25
6/16/2020,9538.02
6/15/2020,9450.70
6/14/2020,9386.79
6/13/2020,9475.28
6/12/2020,9480.84
6/11/2020,9321.78
6/10/2020,9870.09
6/9/2020,9795.70
6/8/2020,9771.49
6/7/2020,9758.85
6/6/2020,9653.68
6/5/2020,9665.53
6/4/2020,9800.64
6/3/2020,9656.72
6/2/2020,9529.80
6/1/2020,10167.27
5/31/2020,9461.06
5/30/2020,9700.41
5/29/2020,9439.12
5/28/2020,9525.75
5/27/2020,9181.02
5/26/2020,8835.05
5/25/2020,8906.93
5/24/2020,8790.37
5/23/2020,9209.29
5/22/2020,9182.58
5/21/2020,9081.76
5/20/2020,9522.98
5/19/2020,9729.04
5/18/2020,9726.58
5/17/2020,9670.74
5/16/2020,9377.01
5/15/2020,9328.20
5/14/2020,9733.72
5/13/2020,9269.99
5/12/2020,8804.48
5/11/2020,8601.80
5/10/2020,8756.43
5/9/2020,9593.90
5/8/2020,9842.67
5/7/2020,9951.52
5/6/2020,9268.76
5/5/2020,9003.07
5/4/2020,8912.65
5/3/2020,8897.47
5/2/2020,8988.60
5/1/2020,8864.77
4/30/2020,8658.55
4/29/2020,8801.04
4/28/2020,7807.06
4/27/2020,7795.60
4/26/2020,7679.87
4/25/2020,7569.94
4/24/2020,7550.90
4/23/2020,7429.72
4/22/2020,7117.21
4/21/2020,6880.32
4/20/2020,6881.96
4/19/2020,7189.42
4/18/2020,7257.67
4/17/2020,7096.18
4/16/2020,7116.80
4/15/2020,6642.11
4/14/2020,6842.43
4/13/2020,6845.04
4/12/2020,6971.09
4/11/2020,6859.08
4/10/2020,6865.49
4/9/2020,7302.09
4/8/2020,7334.10
4/7/2020,7176.41
4/6/2020,7271.78
4/5/2020,6791.13
4/4/2020,6867.53
4/3/2020,6733.39
4/2/2020,6793.62
4/1/2020,6606.78
3/31/2020,6438.64
3/30/2020,6429.84
3/29/2020,5922.04
3/28/2020,6242.19
3/27/2020,6469.80
3/26/2020,6716.44
3/25/2020,6681.06
3/24/2020,6734.80
3/23/2020,6416.31
