Date,Value
7/6/2022,0.0295
7/5/2022,0.0282
7/4/2022,null
7/3/2022,null
7/1/2022,0.0288
6/30/2022,0.0300
6/29/2022,0.0315
6/28/2022,0.0326
6/27/2022,0.0326
6/26/2022,null
6/24/2022,0.0318
6/23/2022,0.0313
6/22/2022,0.0323
6/21/2022,0.0338
6/20/2022,null
6/19/2022,null
6/17/2022,0.0334
6/16/2022,0.0338
6/15/2022,0.0347
6/14/2022,0.0360
6/13/2022,0.0348
6/12/2022,null
6/10/2022,0.0325
6/9/2022,0.0306
6/8/2022,0.0303
6/7/2022,0.0298
6/6/2022,0.0304
6/5/2022,null
6/3/2022,0.0295
6/2/2022,0.0291
6/1/2022,0.0294
5/31/2022,0.0281
5/30/2022,null
5/29/2022,null
5/27/2022,0.0272
5/26/2022,0.0272
5/25/2022,0.0272
5/24/2022,0.0276
5/23/2022,0.0288
5/22/2022,null
5/20/2022,0.0281
5/19/2022,0.0285
5/18/2022,0.0289
5/17/2022,0.0295
5/16/2022,0.0282
5/15/2022,null
5/13/2022,0.0289
5/12/2022,0.0278
5/11/2022,0.0288
5/10/2022,0.0292
5/9/2022,0.0298
5/8/2022,null
5/6/2022,0.0304
5/5/2022,0.0302
5/4/2022,0.0290
5/3/2022,0.0300
5/2/2022,0.0301
5/1/2022,null
4/29/2022,0.0291
4/28/2022,0.0288
4/27/2022,0.0282
4/26/2022,0.0280
4/25/2022,0.0286
4/24/2022,null
4/22/2022,0.0295
4/21/2022,0.0298
4/20/2022,0.0286
4/19/2022,0.0289
4/18/2022,0.0280
4/17/2022,null
4/14/2022,0.0279
4/13/2022,0.0264
4/12/2022,0.0268
4/11/2022,0.0279
4/10/2022,null
4/8/2022,0.0276
4/7/2022,0.0269
4/6/2022,0.0270
4/5/2022,0.0270
4/4/2022,0.0256
4/3/2022,null
4/1/2022,0.0255
3/31/2022,0.0242
3/30/2022,0.0245
3/29/2022,0.0249
3/28/2022,0.0257
3/27/2022,null
3/25/2022,0.0257
3/24/2022,0.0237
3/23/2022,0.0234
3/22/2022,0.0239
3/21/2022,0.0234
3/20/2022,null
3/18/2022,0.0214
3/17/2022,0.0217
3/16/2022,0.0220
3/15/2022,0.0211
3/14/2022,0.0209
3/13/2022,null
3/11/2022,0.0196
3/10/2022,0.0194
3/9/2022,0.0188
3/8/2022,0.0181
3/7/2022,0.0169
3/6/2022,null
3/4/2022,0.0163
3/3/2022,0.0174
3/2/2022,0.0175
3/1/2022,0.0155
2/28/2022,0.0172
2/27/2022,null
2/25/2022,0.0189
2/24/2022,0.0185
2/23/2022,0.0189
2/22/2022,0.0187
2/20/2022,null
2/18/2022,0.0182
2/17/2022,0.0185
2/16/2022,0.0192
2/15/2022,0.0194
2/14/2022,0.0192
2/13/2022,null
2/11/2022,0.0187
2/10/2022,0.0194
2/9/2022,0.0180
2/8/2022,0.0181
2/7/2022,0.0177
2/6/2022,null
2/4/2022,0.0179
2/3/2022,0.0166
2/2/2022,0.0160
2/1/2022,0.0162
1/31/2022,0.0161
1/30/2022,null
1/28/2022,0.0162
1/27/2022,0.0166
1/26/2022,0.0165
1/25/2022,0.0157
1/24/2022,0.0151
1/23/2022,null
1/21/2022,0.0155
1/20/2022,0.0162
1/19/2022,0.0161
1/18/2022,0.0165
1/16/2022,null
1/14/2022,0.0155
1/13/2022,0.0148
1/12/2022,0.0149
1/11/2022,0.0151
1/10/2022,0.0154
1/9/2022,null
1/7/2022,0.0151
1/6/2022,0.0148
1/5/2022,0.0143
1/4/2022,0.0138
1/3/2022,0.0137
1/2/2022,null
12/31/2021,0.0126
12/30/2021,0.0127
12/29/2021,0.0129
12/28/2021,0.0125
12/27/2021,0.0125
12/26/2021,null
12/23/2021,0.0124
12/22/2021,0.0122
12/21/2021,0.0124
12/20/2021,0.0116
12/19/2021,null
12/17/2021,0.0118
12/16/2021,0.0117
12/15/2021,0.0126
12/14/2021,0.0123
12/13/2021,0.0121
12/12/2021,null
12/10/2021,0.0125
12/9/2021,0.0126
12/8/2021,0.0126
12/7/2021,0.0126
12/6/2021,0.0121
12/5/2021,null
12/3/2021,0.0112
12/2/2021,0.0121
12/1/2021,0.0116
11/30/2021,0.0115
11/29/2021,0.0119
11/28/2021,null
11/26/2021,0.0117
11/25/2021,null
11/24/2021,0.0134
11/23/2021,0.0133
11/22/2021,0.0131
11/21/2021,null
11/19/2021,0.0120
11/18/2021,0.0122
11/17/2021,0.0124
11/16/2021,0.0127
11/15/2021,0.0126
11/14/2021,null
11/12/2021,0.0124
11/11/2021,0.0122
11/10/2021,0.0121
11/9/2021,0.0107
11/8/2021,0.0112
11/7/2021,null
11/5/2021,0.0105
11/4/2021,0.0110
11/3/2021,0.0119
11/2/2021,0.0115
11/1/2021,0.0120
10/31/2021,null
10/29/2021,0.0119
10/28/2021,0.0119
10/27/2021,0.0114
10/26/2021,0.0118
10/25/2021,0.0118
10/24/2021,null
10/22/2021,0.0121
10/21/2021,0.0121
10/20/2021,0.0115
10/19/2021,0.0116
10/18/2021,0.0116
10/17/2021,null
10/15/2021,0.0112
10/14/2021,0.0105
10/13/2021,0.0109
10/12/2021,0.0107
10/11/2021,0.0106
10/10/2021,null
10/8/2021,0.0105
10/7/2021,0.0102
10/6/2021,0.0099
10/5/2021,0.0098
10/4/2021,0.0094
10/3/2021,null
10/1/2021,0.0094
9/30/2021,0.0100
9/29/2021,0.0101
9/28/2021,0.0102
9/27/2021,0.0098
9/26/2021,null
9/24/2021,0.0096
9/23/2021,0.0093
9/22/2021,0.0087
9/21/2021,0.0083
9/20/2021,0.0082
9/19/2021,null
9/17/2021,0.0087
9/16/2021,0.0083
9/15/2021,0.0080
9/14/2021,0.0078
9/13/2021,0.0081
9/12/2021,null
9/10/2021,0.0082
9/9/2021,0.0079
9/8/2021,0.0081
9/7/2021,0.0082
9/5/2021,null
9/3/2021,0.0079
9/2/2021,0.0078
9/1/2021,0.0078
8/31/2021,0.0077
8/30/2021,0.0077
8/29/2021,null
8/27/2021,0.0080
8/26/2021,0.0084
8/25/2021,0.0082
8/24/2021,0.0079
8/23/2021,0.0077
8/22/2021,null
8/20/2021,0.0079
8/19/2021,0.0077
8/18/2021,0.0078
8/17/2021,0.0076
8/16/2021,0.0075
8/15/2021,null
8/13/2021,0.0079
8/12/2021,0.0083
8/11/2021,0.0080
8/10/2021,0.0082
8/9/2021,0.0079
8/8/2021,null
8/6/2021,0.0077
8/5/2021,0.0072
8/4/2021,0.0068
8/3/2021,0.0065
8/2/2021,0.0065
8/1/2021,null
7/30/2021,0.0070
7/29/2021,0.0073
7/28/2021,0.0074
7/27/2021,0.0069
7/26/2021,0.0071
7/25/2021,null
7/23/2021,0.0072
7/22/2021,0.0071
7/21/2021,0.0073
7/20/2021,0.0067
7/19/2021,0.0069
7/18/2021,null
7/16/2021,0.0078
7/15/2021,0.0078
7/14/2021,0.0080
7/13/2021,0.0085
7/12/2021,0.0080
7/11/2021,null
7/9/2021,0.0079
7/8/2021,0.0074
7/7/2021,0.0078
7/6/2021,0.0081
7/4/2021,null
7/2/2021,0.0086
7/1/2021,0.0090
6/30/2021,0.0087
6/29/2021,0.0089
6/28/2021,0.0090
6/27/2021,null
6/25/2021,0.0093
6/24/2021,0.0091
6/23/2021,0.0088
6/22/2021,0.0086
6/21/2021,0.0088
6/20/2021,null
6/18/2021,0.0089
6/17/2021,0.0088
6/16/2021,0.0088
6/15/2021,0.0079
6/14/2021,0.0079
6/13/2021,null
6/11/2021,0.0075
6/10/2021,0.0073
6/9/2021,0.0075
6/8/2021,0.0077
6/7/2021,0.0079
6/6/2021,null
6/4/2021,0.0078
6/3/2021,0.0085
6/2/2021,0.0080
6/1/2021,0.0081
5/30/2021,null
5/28/2021,0.0079
5/27/2021,0.0081
5/26/2021,0.0078
5/25/2021,0.0077
5/24/2021,0.0081
5/23/2021,null
5/21/2021,0.0083
5/20/2021,0.0082
5/19/2021,0.0086
5/18/2021,0.0082
5/17/2021,0.0083
5/16/2021,null
5/14/2021,0.0082
5/13/2021,0.0084
5/12/2021,0.0086
5/11/2021,0.0080
5/10/2021,0.0078
5/9/2021,null
5/7/2021,0.0077
5/6/2021,0.0080
5/5/2021,0.0080
5/4/2021,0.0082
5/3/2021,0.0083
5/2/2021,null
4/30/2021,0.0086
4/29/2021,0.0087
4/28/2021,0.0086
4/27/2021,0.0088
4/26/2021,0.0083
4/25/2021,null
4/23/2021,0.0082
4/22/2021,0.0080
4/21/2021,0.0080
4/20/2021,0.0080
4/19/2021,0.0083
4/18/2021,null
4/16/2021,0.0082
4/15/2021,0.0079
4/14/2021,0.0086
4/13/2021,0.0084
4/12/2021,0.0089
4/11/2021,null
4/9/2021,0.0087
4/8/2021,0.0084
4/7/2021,0.0086
4/6/2021,0.0087
4/5/2021,0.0094
4/4/2021,null
4/1/2021,0.0091
3/31/2021,0.0094
3/30/2021,0.0091
3/29/2021,0.0089
3/28/2021,null
3/26/2021,0.0086
3/25/2021,0.0082
3/24/2021,0.0081
3/23/2021,0.0083
3/22/2021,0.0086
3/21/2021,null
3/19/2021,0.0088
3/18/2021,0.0087
3/17/2021,0.0078
3/16/2021,0.0082
3/15/2021,0.0083
3/14/2021,null
3/12/2021,0.0085
3/11/2021,0.0078
3/10/2021,0.0079
3/9/2021,0.0082
3/8/2021,0.0085
3/7/2021,null
3/5/2021,0.0079
3/4/2021,0.0078
3/3/2021,0.0073
3/2/2021,0.0068
3/1/2021,0.0071
2/28/2021,null
2/26/2021,0.0078
2/25/2021,0.0080
2/24/2021,0.0061
2/23/2021,0.0058
2/22/2021,0.0060
2/21/2021,null
2/19/2021,0.0058
2/18/2021,0.0055
2/17/2021,0.0057
2/16/2021,0.0056
2/14/2021,null
2/12/2021,0.0049
2/11/2021,0.0046
2/10/2021,0.0046
2/9/2021,0.0047
2/8/2021,0.0048
2/7/2021,null
2/5/2021,0.0047
2/4/2021,0.0046
2/3/2021,0.0046
2/2/2021,0.0045
2/1/2021,0.0042
1/31/2021,null
1/29/2021,0.0044
1/28/2021,0.0043
1/27/2021,0.0041
1/26/2021,0.0041
1/25/2021,0.0041
1/24/2021,null
1/22/2021,0.0043
1/21/2021,0.0045
1/20/2021,0.0045
1/19/2021,0.0045
1/17/2021,null
1/15/2021,0.0046
1/14/2021,0.0048
1/13/2021,0.0048
1/12/2021,0.0050
1/11/2021,0.0050
1/10/2021,null
1/8/2021,0.0048
1/7/2021,0.0045
1/6/2021,0.0043
1/5/2021,0.0038
1/4/2021,0.0035
1/3/2021,null
12/31/2020,0.0036
12/30/2020,0.0037
12/29/2020,0.0038
12/28/2020,0.0036
12/27/2020,null
12/24/2020,0.0036
12/23/2020,0.0038
12/22/2020,0.0036
12/21/2020,0.0038
12/20/2020,null
12/18/2020,0.0038
12/17/2020,0.0038
12/16/2020,0.0037
12/15/2020,0.0038
12/14/2020,0.0036
12/13/2020,null
12/11/2020,0.0036
12/10/2020,0.0038
12/9/2020,0.0041
12/8/2020,0.0039
12/7/2020,0.0039
12/6/2020,null
12/4/2020,0.0042
12/3/2020,0.0041
12/2/2020,0.0042
12/1/2020,0.0043
11/30/2020,0.0036
11/29/2020,null
11/27/2020,0.0037
11/25/2020,0.0039
11/24/2020,0.0040
11/23/2020,0.0039
11/22/2020,null
11/20/2020,0.0038
11/19/2020,0.0039
11/18/2020,0.0040
11/17/2020,0.0039
11/16/2020,0.0041
11/15/2020,null
11/13/2020,0.0040
11/12/2020,0.0040
11/11/2020,0.0045
11/10/2020,0.0046
11/9/2020,0.0045
11/8/2020,null
11/6/2020,0.0036
11/5/2020,0.0034
11/4/2020,0.0032
11/3/2020,0.0039
11/2/2020,0.0038
11/1/2020,null
10/30/2020,0.0038
10/29/2020,0.0037
10/28/2020,0.0033
10/27/2020,0.0034
10/26/2020,0.0035
10/25/2020,null
10/23/2020,0.0037
10/22/2020,0.0038
